time_s	force_N
16.085970	0.668827
16.088040	0.279503
16.090110	1.058151
16.092180	1.447475
16.094250	0.279503
16.096320	0.279503
16.098390	0.668827
16.100460	0.279503
16.102530	0.279503
16.104600	0.279503
16.106670	-0.109821
16.108740	1.058151
16.110810	1.058151
16.112880	0.668827
16.114950	0.279503
16.117020	-0.109821
16.119090	0.279503
16.121160	0.279503
16.123230	1.058151
16.125300	0.668827
16.127370	-0.109821
16.129440	0.668827
16.131510	0.668827
16.133580	0.668827
16.135650	0.668827
16.137720	0.279503
16.139790	0.668827
16.141860	-0.109821
16.143930	1.058151
16.146000	0.668827
16.148070	0.668827
16.150140	-0.109821
16.152210	-0.499145
16.154280	0.668827
16.156350	0.668827
16.158420	1.058151
16.160490	0.668827
16.162560	0.668827
16.164630	-0.499145
16.166700	0.668827
16.168770	0.668827
16.170840	0.668827
16.172910	-0.109821
16.174980	0.668827
16.177050	0.279503
16.179120	-0.109821
16.181190	0.279503
16.183260	1.447475
16.185330	-0.109821
16.187400	1.447475
16.189470	1.058151
16.191540	1.058151
16.193610	0.668827
16.195680	1.058151
16.197750	-0.499145
16.199820	1.058151
16.201890	1.058151
16.203960	0.668827
16.206030	0.668827
16.208100	1.447475
16.210170	0.279503
16.212240	0.279503
16.214310	0.279503
16.216380	1.447475
16.218450	0.279503
16.220520	0.668827
16.222590	0.668827
16.224660	0.279503
16.226730	-0.109821
16.228800	1.058151
16.230870	0.668827
16.232940	-0.499145
16.235010	1.058151
16.237080	0.279503
16.239150	0.668827
16.241220	0.279503
16.243290	0.279503
16.245360	0.279503
16.247430	0.668827
16.249500	1.447475
16.251570	0.668827
16.253640	0.668827
16.255710	0.668827
16.257780	0.279503
16.259850	0.668827
16.261920	0.668827
16.263990	0.668827
16.266060	1.058151
16.268130	0.668827
16.270200	0.279503
16.272270	0.668827
16.274340	-0.109821
16.276410	0.668827
16.278480	0.279503
16.280550	-0.109821
16.282620	1.447475
16.284690	0.668827
16.286760	1.058151
16.288830	0.279503
16.290900	0.279503
16.292970	0.279503
16.295040	0.668827
16.297110	1.447475
16.299180	1.058151
16.301250	0.668827
16.303320	0.279503
16.305390	0.668827
16.307460	0.279503
16.309530	1.447475
16.311600	1.447475
16.313670	0.668827
16.315740	0.279503
16.317810	1.058151
16.319880	0.668827
16.321950	1.058151
16.324020	1.058151
16.326090	0.668827
16.328160	0.668827
16.330230	0.668827
16.332300	0.668827
16.334370	1.836799
16.336440	0.279503
16.338510	0.279503
16.340580	0.668827
16.342650	-0.109821
16.344720	-0.109821
16.346790	0.279503
16.348860	0.279503
16.350930	1.058151
16.353000	1.447475
16.355070	0.279503
16.357140	0.279503
16.359210	0.279503
16.361280	0.279503
16.363350	1.058151
16.365420	-0.109821
16.367490	1.058151
16.369560	0.279503
16.371630	-0.109821
16.373700	0.279503
16.375770	0.668827
16.377840	0.279503
16.379910	0.279503
16.381980	1.058151
16.384050	0.279503
16.386120	0.279503
16.388190	0.668827
16.390260	0.668827
16.392330	0.279503
16.394400	1.058151
16.396470	0.668827
16.398540	0.668827
16.400610	-0.109821
16.402680	0.668827
16.404750	1.058151
16.406820	0.279503
16.408890	0.668827
16.410960	0.668827
16.413030	0.279503
16.415100	0.279503
16.417170	0.668827
16.419240	1.058151
16.421310	0.668827
16.423380	0.279503
16.425450	1.058151
16.427520	-0.109821
16.429590	0.668827
16.431660	0.279503
16.433730	0.668827
16.435800	0.279503
16.437870	0.668827
16.439940	0.279503
16.442010	0.279503
16.444080	0.279503
16.446150	0.668827
16.448220	1.058151
16.450290	0.668827
16.452360	0.279503
16.454430	0.279503
16.456500	1.058151
16.458570	0.668827
16.460640	1.058151
16.462710	0.668827
16.464780	0.668827
16.466850	1.058151
16.468920	-0.109821
16.470990	0.279503
16.473060	0.279503
16.475130	0.668827
16.477200	0.668827
16.479270	0.668827
16.481340	0.279503
16.483410	0.668827
16.485480	0.668827
16.487550	0.668827
16.489620	0.279503
16.491690	0.668827
16.493760	0.668827
16.495830	0.279503
16.497900	0.668827
16.499970	-0.109821
16.502040	1.058151
16.504110	0.279503
16.506180	0.668827
16.508250	0.279503
16.510320	0.279503
16.512390	-0.109821
16.514460	0.279503
16.516530	0.668827
16.518600	0.668827
16.520670	0.279503
16.522740	0.668827
16.524810	1.058151
16.526880	0.279503
16.528950	0.668827
16.531020	0.668827
16.533090	0.279503
16.535160	0.668827
16.537230	0.668827
16.539300	-0.109821
16.541370	1.058151
16.543440	1.447475
16.545510	0.668827
16.547580	-0.109821
16.549650	-0.109821
16.551720	0.668827
16.553790	0.668827
16.555860	0.279503
16.557930	1.058151
16.560000	0.668827
16.562070	0.668827
16.564140	0.668827
16.566210	-0.109821
16.568280	0.279503
16.570350	0.279503
16.572420	1.058151
16.574490	1.447475
16.576560	-0.499145
16.578630	0.668827
16.580700	0.279503
16.582770	1.058151
16.584840	1.058151
16.586910	0.279503
16.588980	0.279503
16.591050	0.279503
16.593120	0.279503
16.595190	0.668827
16.597260	1.058151
16.599330	0.668827
16.601400	0.668827
16.603470	1.058151
16.605540	-0.109821
16.607610	1.447475
16.609680	0.668827
16.611750	0.668827
16.613820	0.279503
16.615890	0.279503
16.617960	1.058151
16.620030	1.058151
16.622100	0.279503
16.624170	1.058151
16.626240	0.668827
16.628310	0.279503
16.630380	0.279503
16.632450	0.279503
16.634520	1.058151
16.636590	-0.109821
16.638660	0.279503
16.640730	1.058151
16.642800	1.058151
16.644870	0.668827
16.646940	-0.109821
16.649010	1.058151
16.651080	0.668827
16.653150	0.668827
16.655220	0.279503
16.657290	0.668827
16.659360	0.668827
16.661430	1.058151
16.663500	0.279503
16.665570	0.668827
16.667640	0.668827
16.669710	1.058151
16.671780	-0.109821
16.673850	-0.109821
16.675920	0.668827
16.677990	0.279503
16.680060	0.279503
16.682130	-0.109821
16.684200	1.058151
16.686270	0.668827
16.688340	0.668827
16.690410	0.668827
16.692480	1.447475
16.694550	0.279503
16.696620	1.058151
16.698690	1.447475
16.700760	0.668827
16.702830	1.058151
16.704900	0.279503
16.706970	1.447475
16.709040	-0.109821
16.711110	0.279503
16.713180	0.279503
16.715250	-0.109821
16.717320	0.279503
16.719390	0.668827
16.721460	1.447475
16.723530	0.668827
16.725600	0.279503
16.727670	1.058151
16.729740	0.279503
16.731810	1.058151
16.733880	0.668827
16.735950	0.668827
16.738020	0.279503
16.740090	-0.109821
16.742160	1.058151
16.744230	0.668827
16.746300	-0.109821
16.748370	0.279503
16.750440	1.058151
16.752510	0.668827
16.754580	0.279503
16.756650	1.058151
16.758720	0.668827
16.760790	-0.499145
16.762860	1.058151
16.764930	-0.109821
16.767000	0.279503
16.769070	0.668827
16.771140	0.668827
16.773210	1.058151
16.775280	0.279503
16.777350	0.279503
16.779420	-0.109821
16.781490	0.668827
16.783560	0.668827
16.785630	-0.109821
16.787700	-0.109821
16.789770	1.058151
16.791840	0.279503
16.793910	0.668827
16.795980	0.668827
16.798050	1.058151
16.800120	0.279503
16.802190	-0.109821
16.804260	1.058151
16.806330	0.279503
16.808400	-0.109821
16.810470	1.058151
16.812540	0.668827
16.814610	0.279503
16.816680	0.668827
16.818750	0.668827
16.820820	-0.109821
16.822890	1.058151
16.824960	1.447475
16.827030	0.279503
16.829100	1.058151
16.831170	0.668827
16.833240	0.279503
16.835310	0.668827
16.837380	0.668827
16.839450	0.668827
16.841520	0.279503
16.843590	-0.109821
16.845660	-0.109821
16.847730	1.058151
16.849800	0.668827
16.851870	0.668827
16.853940	0.668827
16.856010	0.279503
16.858080	-0.109821
16.860150	0.279503
16.862220	0.279503
16.864290	1.058151
16.866360	-0.109821
16.868430	0.668827
16.870500	0.279503
16.872570	0.279503
16.874640	0.668827
16.876710	0.279503
16.878780	1.058151
16.880850	0.668827
16.882920	1.058151
16.884990	0.668827
16.887060	0.279503
16.889130	-0.109821
16.891200	0.279503
16.893270	-0.109821
16.895340	0.279503
16.897410	0.668827
16.899480	0.668827
16.901550	0.668827
16.903620	0.668827
16.905690	0.279503
16.907760	-0.109821
16.909830	0.668827
16.911900	0.668827
16.913970	1.058151
16.916040	1.447475
16.918110	1.836799
16.920180	1.058151
16.922250	1.058151
16.924320	0.279503
16.926390	0.279503
16.928460	1.058151
16.930530	0.279503
16.932600	1.058151
16.934670	0.668827
16.936740	1.058151
16.938810	1.058151
16.940880	0.279503
16.942950	0.668827
16.945020	0.279503
16.947090	1.058151
16.949160	0.668827
16.951230	0.668827
16.953300	1.058151
16.955370	1.058151
